Ключ,Значение,Название,Варианты,Пояснение,Не встречается
母,мать,なかれ,,"Древняя пиктограмма женщины@@@ приготовившейся кормить ребенка@@@ дала основу иероглифу «мать».
В настоящее время иероглиф используется в значениях: «мать@@@ мама@@@ матушка»@@@ «самка@@@ матка@@@ кормилица@@@ производительница»@@@ «основная часть@@@ основа@@@ капитал»@@@ «производящая@@@ образующая».
В качестве ключевого знака иероглиф «мать» употребляется редко.",
比,сравнивать,くらべる,,"Иероглиф «сравнивать» произошел от древней пиктограммы «сидящий человек». Для образования идеограммы «сравнивать» древние китайцы сопоставили эти два знака рядом.
Современный иероглиф употребляется в значениях: «сравнивать@@@ сопоставлять@@@ соревноваться»@@@ «копировать@@@ брать пример@@@ подбирать людей» и др.
В качестве ключевого знака иероглиф «сравнивать»
малоупотребителен.",
毛,шерсть@@@ волосы,け,,"Древняя пиктограмма@@@ от которой произошел иероглиф «шерсть»@@@ изображала пучок шерсти какого-то мохнатого животного.
Современный иероглиф используется в значениях: «шерсть»@@@ «волосяной покров»@@@ «мех» и др.@@@ а также «растительность»@@@ «зелень»@@@ «урожай» и др.
В качестве ключевого знака иероглиф «шерсть» малоупотребителен.",
氏,клан,うじ,,"Древний рисунок человека со свертком в руках послужил основой современному иероглифу «нести».
В современном языке иероглиф употребляется в значениях «род@@@ фамилия»@@@ «господин@@@ вельможа@@@ царствующий дом@@@ династия».
Иероглиф «нести» в качестве ключевого знака употребляется крайне редко.",
气,дух,きがまえ,,"Древняя пиктограмма «пар» представляет собой струящиеся нити от горячего источника или озера.
Иероглиф употребляется в нескольких значениях: «воз-дух»@@@ «газ»@@@ «пар»@@@ в прямом и переносном смысле: «атмосфера»@@@ «энергия»@@@ «дух»@@@ «чувства»@@@ «настроения».
С этим иероглифом связано много устойчивых идиоматических выражений.
В качестве ключевого знака «пар» используется редко.",
水,вода,さんずい,氵,"Древний рисунок водного потока или реки послужил прообразом современного иероглифа «вода».
Как видно из древней пиктограммы - это или извилистая речка между валунами у беретов@@@ либо небольшие заводи@@@ образующиеся вдоль бурного потока.
Самостоятельно иероглиф используется в значениях «вода»@@@ «река»@@@ «море»@@@ «жидкость».
Иероглиф «вода» - это сильный ключевой знак@@@ находящийся в составе многих иероглифов.
В качестве ключа он обычно располагается в левой части знака и принимает сокращенную форму氵.",
火,огонь,ひ,灬,"Основой современного иероглифа «огонь»@@@ «пламя»@@@ «свет»@@@ «пожар» послужила древняя пиктограмма@@@ которой древние китайцы изобразили языки пламени костра или огонь@@@ извергающийся из жерла вулкана.
В современном начертании иероглиф похож на бегущего (от пожара) человечка.
В перечисленных выше значениях иероглиф «огонь» употребляется также и в иероглифических сочетаниях.
Это сильный ключевой знак. В иероглифах он может также выглядеть в виде четырех капель 灬 в нижней части знака.",
爪,коготь,つめ,⺥,"Древняя пиктограмма «когти»@@@ послужившая прообразом современному иероглифу@@@ изображала скорее всего когти какой-то хищной птицы.
Самостоятельно иероглиф употребляется в значениях: «коготь»@@@ «ноготь»@@@ «лапа»@@@ «чесать»@@@ «скрести».
В качестве ключевого знака иероглиф «когти» мало-употребителен. В сложных иероглифах располагается@@@ как правило@@@ в верхней части знака в виде ⺥.",
父,отец,ちち,,"Древняя пиктограмма «отец» представляла собой изображение руки@@@ держащей символ семейной власти.
В современном языке иероглиф используется в значениях: «отец@@@ старший родственник@@@ папаша@@@ батюшка@@@ почтенный».
В качестве ключевого знака иероглиф «отец» употребляется крайне редко.",
爻,перемешивать,こう,,"Древний рисунок изображал перекрещенные бамбуковые палочки@@@ применяемые для счета.
Произошедший от него иероглиф обозначает «черту в гексаграмме («И-цзина»)».
В качестве ключевого знака иероглиф малоупотребителен.",
爿,расколотая древесина,しょうへん,,"Древняя пиктограмма «доска» представляла собой часть расщепленного ствола дерева.
Самостоятельно иероглиф употребляется только в этом значении.
В качестве ключевого знака иероглиф «доска» мало-употребителен@@@ располагается часто слева в виде 丬.",
片,одна сторона,かた,,"Древняя пиктограмма «щепка» представляла собой часть расщепленного ствола дерева.
В современном языке иероглиф употребляется в значениях: «щепка@@@ дощечка@@@ стружка@@@ хлопья@@@ лепесток@@@ пластинка@@@ полоска@@@ ломтик@@@ клочок»@@@ «расщеплять@@@ нарезать@@@ остругивать@@@ обрезать» и др.
В качестве ключевого знака иероглиф «щепка» употребляется сравнительно редко.",
牙,клык,きば,,"Древняя пиктограмма «зуб» изображает@@@ вероятно@@@ бугорки на поверхности коренного зуба.
В современном языке иероглиф используется в значениях: «зуб@@@ клык@@@ зубец@@@ выступ@@@ зубчатый». В переносном смысле может означать: «знамя главнокомандующего@@@ главное войсковое знамя@@@ государственное учреждение» и др.
В качестве ключевого знака иероглиф «зуб» употребляется редко.",
牛,корова,うし,,"Древняя пиктограмма@@@ от которой произошел иероглиф «корова»@@@ изображала коровью голову с ротами.
Современный иероглиф обозначает: «крупный рогатый скот»@@@ «бык»@@@ «буйвол»@@@ «вол»@@@ «говяжий». Кроме этих значений может употребляться в значениях: «упрямый»@@@ «строптивый».
В качестве ключа иероглиф располагается@@@ как правило@@@ в левой части сложного иероглифа@@@ немного «сужаясь» 牜.",
犬,собака,けものへん,,"На древней пиктограмме не так сложно узнать собаку@@@ рисунок которой послужил основой современному иероглифу «собака»@@@ «пес».
Этот ключевой знак интересен тем@@@ что может располагаться как в правой@@@ так и в левой части сложных иероглифов. Причем в правой части знак остается без изменения@@@ а в левой принимает форму 犭 и имеет значение «животное».
«Собака» - сильный ключевой иероглиф.",
玄,темнота,げん,,"Древняя идеограмма@@@ от которой произошел иероглиф «темный»@@@ изображала нечто небольшое (коконы шелкопряда)@@@ накрытое крышкой или покрывалом. в современном языке иероглиф употребляется также в значениях: «скрытый@@@ незаметный@@@ тайный@@@ таинственный@@@ непостижимый» и др.
В качестве ключевого знака иероглиф «темный» мало-употребителен.",
王,драгоценность@@@ король,おうへん,,"Древняя идеограмма явилась праосновой двум различным иероглифам@@@ которые впоследствии стали ключевыми знаками.
Первый иероглиф - 王 «царь». Согласно одной из версий происхождения этого иероглифа@@@ три горизонтальные черты обозначали соответственно небо@@@ людей и землю. Вертикальная черта символизировала того@@@ кто осуществляет связь между небом@@@ людьми и землей@@@ т.е. царь. Кроме этого иероглиф употребляется в значениях: «князь@@@ государь@@@ монарх@@@ правитель@@@ главарь@@@ вождь».
Второй иероглиф представлял собой 玉 «яшму»: три горизонтальные черты - драгоценные камни@@@ вертикальная черта - связующая нить. Для отличия иероглифов в «яшме» ввели дополнительную черту в виде капли. Кроме яшмы иероглиф обозначает: «нефрит@@@ самоцвет@@@ драгоценность» и др.",
瓜,дыня,うり,,"Древний иероглиф скорее всего схематически изображал некую бахчевую культуру.
Самостоятельно иероглиф употребляется в значениях: «дыня»@@@ «тыква»@@@ «арбуз»@@@ «бахчевые культуры».
В качестве ключевого знака иероглиф «дыня» мало-употребителен.",
瓦,черепица,かわら,,"Изображение двух черепиц@@@ соединенных между собой на крыше@@@ образовало пиктограмму «черепица». Иероглиф@@@ произошедший от этой пиктограммы@@@ употребляется в значениях: «черепица@@@ изразец@@@ глиняные (гончарные) изделия@@@ керамика@@@ фаянс»@@@ «крыть (облицовывать) черепицей (изразцами)».
В качестве ключевого знака иероглиф «черепица» малоупотребителен.",
甘,сладкий,あまい,,"Древняя пиктограмма@@@ от которой произошел современный иероглиф «сладкий»@@@ изображала рот с чем-то вкусным внутри.
Иероглиф используется в значениях: «сладкий@@@ вкусный@@@ приятный@@@ радостный»@@@ «сласти@@@ лакомства@@@ яства» и Ар.
В качестве ключевого знака иероглиф «сладкий» мало-употребителен.",
生,жизнь,うまれる,,"Древняя пиктограмма@@@ от которой произошел иероглиф «жизнь»@@@ изображала маленький росток@@@ пробившийся чрез земную толщу.
Иероглиф имеет множество значений@@@ так или иначе связанных с появлением чего-либо: «жизнь»@@@ «существование»@@@ «производить»@@@ «порождать»@@@ «возникать»@@@ «по-являться»@@@ «происходить»@@@ «рожать»@@@ «плодоносить» и т.п.
В качестве ключевого знака используется довольно редко.",
用,использовать,もちいる,,"Древний рисунок@@@ от которого произошел современный иероглиф «использовать»@@@ имеет несколько толкований.
Одно из них гласит@@@ что рисунок изображал изгородь@@@ используемую в качестве ограждения поля для выпаса животных.
В современном языке иероглиф используется в значениях: «применять@@@ употреблять@@@ пускать в дело@@@ использовать на работе@@@ управлять»@@@ «дело@@@ надобность@@@ пригодность@@@ применение@@@ расходы@@@ трата».
В качестве ключевого знака иероглиф малоупотребителен.",
田,рисовое поле,た,,"Древняя пиктограмма «поле» изображала участок земли@@@ разделенный продольными и поперечными межами.
Современный иероглиф употребляется в значениях: «поле@@@ земля@@@ надел@@@ пахота@@@ нива@@@ земледелие@@@ хлебопашество»@@@ «обрабатывать землю@@@ возделывать».
В качестве ключевого знака иероглиф «поле» используется сравнительно редко.",
疋,численность,ひき,⺪,"Первоначальное значение пиктограммы «нога» - нога человека в целом@@@ начиная от бедра.
Современный иероглиф употребляется в значении «но-та в движении».
В качестве ключевого знака иероглиф «нога» мало-употребителен.⺪",
疒,болезнь,やまいだれ,,"Древняя пиктограмма «болезнь» изображала лежащего на постели человека@@@ на теле которого выступили капли пота@@@ т.е. страдающего от тяжкого недуга.
Современный иероглиф самостоятельно употребляется только в этом значении. В составе сложных знаков указывает@@@ что иероглиф обозначает какое-либо заболевание.
Иероглиф «болезнь» - сильный ключевой знак.",
癶,отправляться@@@ шаги,はつがしら,,"Древний рисунок следов двух ног обозначал «топтать».
В современном языке кроме этого значения иероглиф обозначает «раскоряченные ноги».
Иероглиф «топтать» является сильным ключевым знаком. Располагается обычно в верхней части сложных иероглифов.",
白,белый,しろ,,"Происхождение иероглифа «белый» связывают с цветом захода солнца. Идеограмма@@@ от которой произошел иероглиф@@@ представляла собой знак «входить@@@ заходить» и две горизонтальные черты («два»)@@@ которые относятся к понятию «Инь». Поэтому белый цвет на Востоке является цветом траура. Позднее иероглиф приобрел форму@@@ схожую с изображением солнца.
Современный иероглиф употребляется в значениях:
«Белый@@@ серебристый@@@ седой@@@ чистый@@@ светлый@@@ ясный» и др.
В качестве ключевого знака иероглиф «белый» употребляется нечасто.",
皮,прятаться,けがわ,,"Древняя пиктограмма «сырая кожа» изображала шкуру животного@@@ которую держит рука.
Современный иероглиф имеет значения: «кожа»@@@ «мех»@@@ «шкура»@@@ «кора»@@@ «кожура»@@@ «оболочка»@@@ а также «зачерстветь»@@@ «отвердеть» и др.
В качестве ключевого знака иероглиф «сырая кожа»
малоупотребителен.",
皿,тарелка,さら,,"Древняя пиктограмма@@@ от которой произошел иероглиф «сосуд»@@@ изображала чашу на толстой ножке. В современном языке иероглиф употребляется в значениях «Сосуд@@@ посуда@@@ утварь».
В качестве ключевого знака иероглиф «сосуд» мало-употребителен.",
目,глаз,め,,"На древней пиктограмме без труда можно узнать человеческий глаз.
Современный иероглиф употребляется в значениях: «глаз@@@ глаза@@@ взор@@@ взгляд»@@@ «подразделение@@@ подзаголовок@@@ статья@@@ обзор@@@ свод»@@@ «название@@@ заглавие@@@ титул@@@ указатель@@@ индекс» и др.
Иероглиф «глаз» является сильным ключевым знаком.
Часто располагается слева. В верхней части сложного знака может иметь форму 罒.",
矛,алебарда,ほこ,,"Древнее изображение копья в своем первоначальном виде вполне понятно. Современный иероглиф «копье» употребляется также в значениях «копье@@@ рогатина@@@ китайский протазан».
Иероглиф «копье» является слабым ключевым знаком.",
矢,стрела,や,,"Древняя пиктограмма изображала стрелу@@@ приготовленную для выпуска из лука.
В современном языке иероглиф употребляется в значениях: «стрела@@@ вектор»@@@ «клясться@@@ присягать». В переносном смысле иероглиф имеет значения: «испражнения@@@ экскременты@@@ кал».
В качестве ключевого знака иероглиф «стрела» употребляется нечасто.",
石,камень,いし,,"Осколок@@@ отколовшийся от скалы@@@ послужил основой иероглифу «камень».
Кроме этого значения иероглиф обозначает в Японии меры емкости: 180@@@4 литра@@@ для риса - приблизительно 150 кг@@@ для лесоматериала@@@ камня и т.п. - 0@@@28 куб. м.
Иероглиф «камень» является сильным ключевым знаком.
В составе сложных иероглифов может вносить смысл некоей твердой субстанции@@@ инструмента или строения.",
示,показывать@@@ указывать,しめすへん,,"Древний рисунок@@@ от которого произошел иероглиф «алтарь»@@@ изображал небольшой столик@@@ используемый для жертвоприношений.
В современном языке этот иероглиф употребляется в значениях: «выражать@@@ изъявлять@@@ уведомлять@@@ сообщать@@@ учить@@@ поучать» и др.
Иероглиф «алтарь» является сильным ключевым знаком@@@ располагается часто в левой части сложных иероглифов в виде ネ.",
禸,след,じゅうのあし,,"Древняя пиктограмма@@@ изображавшая отпечаток лапы какого-то зверя или животного@@@ послужила прообразом современному иероглифу «след».
Самостоятельно иероглиф употребляется только в этом значении.
В качестве ключевого знака «след» малопродуктивен.",
禾,зерно,のぎへん,,"Древняя пиктограмма@@@ от которой произошел современный иероглиф «злак»@@@ «колос»@@@ изображала корни и стебель растения@@@ согнувшегося под тяжестью зерен.
Кроме этих значений иероглиф может употребляться в значении «разведение хлебов»@@@ «хлебопашество». В сочетании с другими - обозначает злаковые или зерновые культуры.
«Злак»@@@ «колос» - сильный ключевой знак@@@ входящий во многие иероглифы.",
穴,пещера,あな,,"Знак «пещера» изображал свод или отверстие@@@ образованное двумя глыбами камней.
Самостоятельно иероглиф обозначает: «отверстие»@@@ «дыра»@@@ «скважина»@@@ «щель»@@@ «трещина»@@@ «яма»@@@ «впади-на»@@@ «нора». В переносном смысле имеет также значения: «недостача»@@@ «дефицит».
В составе сложных иероглифов «пещера» обычно располагается в верхней части знака.
Иероглиф «пещера» - сильный ключевой знак.",
立,стоять,たつ,,"Древняя пиктограмма «стоять» изображала твердо стоящего на ногах человека.
Современный иероглиф имеет множество значений: «неподвижный@@@ подниматься@@@ вертикальный»@@@ «вставать на ноги@@@ становиться самостоятельным»@@@ «начинаться@@@ быть основанным@@@ учрежденный»@@@ «получать назначение@@@ вступать на пост@@@ определяться на службу» и др.
В качестве ключевого знака иероглиф «стоять» часто применяем. Это сильный ключ.",
竹,бамбук,たけ,,"Древнее изображение бамбука схоже с рисунком травы@@@ только побеги направлены вниз@@@ а не вверх.
Самостоятельно иероглиф используется в значении
«Бамбук».
Поскольку в древности на Востоке бамбук широко при-менялся в повседневной жизни для различных изделий и предметов обихода@@@ этот знак вошел в качестве ключевого в большое количество иероглифов. Поэтому «бамбук» - сильный ключевой знак. Как правило@@@ он располагается в верхней части иероглифов в несколько «укороченном» виде.",
米,рис,こめ,,"Современный иероглиф «рис»@@@ «зерно» произошел от древней пиктограммы@@@ на которой были изображены зерна@@@ вышелушенные из колосьев.
Самостоятельно иероглиф употребляется также в значениях «очищенное зерно»@@@ «крупа».
В сочетаниях с другими иероглифами@@@ кроме перечисленных выше@@@ обозначает «Америка» (сокращенно от четырех иероглифов@@@ образующих название).
«Рис» - сильный ключевой знак@@@ который может располагаться в различных частях сложных иероглифов.",
糸,нитка,いと,,"Древняя пиктограмма@@@ от которой произошел иероглиф «нить»@@@ изображала выделяемую гусеницей шелкопряда шелковинку.
В современном языке иероглиф имеет значения: «нить@@@ нитка@@@ леска»@@@ «ничтожное количество@@@ йота».
Иероглиф «нить» является сильным ключевым знаком@@@ располагающимся@@@ как правило@@@ в левой части сложных иероглифов.",
缶,глиняный кувшин,みずがめ,,"Древняя пиктограмма изображала некий сосуд@@@ накрытый крышкой.
Иероглиф@@@ произошедший от этой пиктограммы@@@ обозначает «глиняная амфора».
В качестве ключевого знака иероглиф «амфора» мало-употребителен.",
网,сетка,あみがしら,⺳,"Древняя пиктограмма изображала рыболовную сеть или силки для ловли мелких животных.
В современном языке произошедший от этой пиктограммы иероглиф используется в значениях: «сеть@@@ сетка@@@ тенета@@@ силок@@@ невод»@@@ «система@@@ совокупность». В качестве ключевого знака употребляется сравнительно редко. Располагаясь в верхней части сложных иероглифов@@@ может принимать сокращенную форму 罒.",
羊 ,овца,ひつじ,⺷@@@⺶,"Древнее изображение барана или овцы отличалось от рисунка коровы формой рогов.
Иероглиф «баран»@@@ «овца» употребляется также для обозначения мелкого рогатого скота.
Иероглиф-ключ располагается обычно в верхней части сложных иероглифов в несколько укороченной форме  ⺷.
«Баран» - средний ключевой знак.",
羽,перо@@@ крыло,はね,,"На древней пиктограмме@@@ послужившей основой современному иероглифу@@@ было изображено крыло птицы.
Самостоятельно иероглиф употребляется в значениях: «перо» (птичье)@@@ «оперение»@@@ «крылья»@@@ «птицы»@@@ «пернатые».
В качестве ключевого знака малоупотребителен.",
老,пожилой человек,おいかんむり,耂,"Современный иероглиф «старик» восходит корнями к древней пиктограмме «сидящий человек».
Иероглиф употребляется в значениях: «старый@@@ дряхлый@@@ престарелый@@@ пожилой»@@@ «старый@@@ старинный@@@ старомодный»@@@ «огрубевший@@@ заскорузлый@@@ перезревший»@@@
«старший@@@ почтенный@@@ уважаемый» u др.
В качестве ключевого знака иероглиф «старик» используется редко.",
而,и потом@@@ тогда,しこうして,,"Древняя пиктограмма «усы» изображает волосяной покров лица монголоидной расы.
В современном языке иероглиф используется в значениях «усы»@@@ «баки» и др.
В качестве ключевого знака иероглиф «усы» употребляется редко.",
耒,дерево с тремя ветками@@@ плуг,らいすき,,"Древняя пиктограмма@@@ от которой произошел иероглиф «плуг»@@@ изображала@@@ очевидно@@@ обработанный корень и основание дерева@@@ применяемые в старину для вспашки.
В современном языке иероглиф употребляется также в значении «соха».
В качестве ключевого знака иероглиф «плуг» используется сравнительно нечасто.",
耳,ухо,みみ,,"Древняя пиктограмма условно изображала ухо.
Современный иероглиф используется в значениях: «ухо@@@ уши@@@ ушной@@@ на уши»@@@ «ушки (предмета)@@@ боковые выступы@@@ боковины зданий»@@@ «внимать@@@ слушать@@@ принимать во внимание@@@ запоминать» и др.
В качестве ключевого знака иероглиф «ухо» малоупотребителен.",
聿,кисть для письма,ふでづくり,⺻@@@肀,"Древний рисунок изображал руку@@@ держащую некое орудие письма@@@ и черточку - знак@@@ который им написан.
Эта идеограмма стала основой иероглифа@@@ который в со-временном языке обозначает «орудие письма (резец@@@ бамбуковый карандаш@@@ писчая кисть@@@».
В качестве ключевого знака иероглиф употребляется редко.",
肉,мясо,にくづき,月,"Древняя пиктограмма «мясо» изображала кусок грудинки с ребрами.
Современный иероглиф обозначает «мясо»@@@ «плоть»@@@ «плотский»@@@ «тело»@@@ «телесный»@@@ «кровный».
Иероглиф «мясо» - сильный ключевой знак. Располагается@@@ как правило@@@ в левой части сложных иероглифов в форме аналогичной иероглифу «луна»
月.",
臣,вассал,しん,,"Глаз@@@ повернутый вертикально (это происходит@@@ когда человек наклоняет голову)@@@ означает «слуга».
В современном языке иероглиф употребляется в значениях: «вассал@@@ слуга@@@ раб»@@@ «служащий@@@ министр@@@ сановник@@@ чиновник».
В качестве ключевого знака иероглиф «слуга» мало-употребителен.",
自,сам,みずから,,"Древний знак «сам» передает расовую особенность типа носа людей с очень широким переносьем - людей@@@ создавших китайскую письменность.
В современном языке для обозначения носа употребляется более сложный иероглиф@@@ а настоящий используется в значениях: «сам@@@ лично@@@ самолично@@@ сознательно@@@ само собою» и др.
В качестве ключевого знака иероглиф «сам» употребляется редко.",
至,прибывать@@@ достигать,いたる,,"Древняя идеограмма изображала стрелу у края земли@@@ т.е. «стрела@@@ достигшая земли». Современный иероглиф используется в значениях: «достигать@@@ прибывать@@@ доходить»@@@ «предел@@@ лимит@@@ высшая точка» и др.
В качестве ключевого знака иероглиф «достигать» малоупотребителен.",
臼,мортира,うす,,"Древний рисунок «ступка» передает графически насечки на внутренней поверхности этого предмета.
Иероглиф@@@ произошедший от этой пиктограммы@@@ используется в значениях «толочь@@@ толчея@@@ ступка».
В качестве ключевого знака иероглиф «ступка» мало-употребителен.",
舌,язык,した,,"Древняя пиктограмма «язык» изображала язык@@@ высунутый изо рта.
Современный иероглиф употребляется в значениях: «язычок@@@ вентиль@@@ стержень»@@@ «выступ@@@ шип@@@ кончик»@@@ «язык@@@ речь».
В качестве ключевого знака иероглиф «язык» употребляется редко.",
舛,танцующие ноги,まいあし,,"Древняя идеограмма@@@ изображавшая направленные в разные стороны следы человека@@@ обозначала «переступать».
В современном языке иероглиф употребляется в значениях: «в противоположных направлениях@@@ несовместимый@@@ ошибка@@@ неудача@@@ промах@@@ противоречие@@@ расхождение».
В качестве ключевого знака иероглиф «переступать»
малоупотребителен.",
舟,корабль,ふね,,"Специфические особенности конструкции древнекитайских лодок@@@ не имевших заостренной носовой части и по форме напоминавших катамаран@@@ нашли отражение в пиктограмме «лодка».
Современный иероглиф обозначает: «лодка@@@ джонка@@@ судно@@@ корабль»@@@ «блюдце@@@ подставка для винных сосудов (в форме лодки)».
Иероглиф «лодка» - сильный ключевой знак.",
艮,остановка@@@ граница,こん,,"Древняя идеограмма состояла из двух компонентов: «глаз» и «человек». Смысл идеограммы сводился к тому@@@ что человек внимательно рассматривает и тщательно сравнивает что-либо@@@ чем создает определенное препятствие. Поэтому иероглиф@@@ произошедший от данной идеограммы@@@ имеет значение «препятствие@@@ остановка». в современном языке иероглиф приобрел также
значения: «преграда@@@ непреклонный@@@ твердый» и др.
В качестве ключевого знака иероглиф «преграда» мало-употребителен.",
色,цвет,いろ,,"Древняя идеограмма изображала переплетение мужского и женского тел при соитии. Смысл знака заключался не столько в изображении любовной игры@@@ сколько означал красоту и счастье на лицах любовников. Поэтому иероглиф@@@ произошедший от идеограммы@@@ имеет разные значения: «женская красота@@@ женщина@@@ выражение лица@@@ цвет лица@@@ цвет@@@ внешний вид@@@ пейзаж»@@@ а также «сладострастие@@@ распутство@@@ разврат@@@ похоть».
В качестве ключевого знака иероглиф малоупотребителен.",
艸,растение,くさかんむり,艹,"Иероглиф «трава»
состоящий из двух «ростков»
(屮)@@@был выделен в отдельный иероглифический ключ@@@ который располагается в верхней части сложных иероглифов в своей сокращенной форме 艹.
Выделение «травы» в самостоятельный ключевой знак связано с использованием различных трав не только в древней медицине@@@ но и в быту.
Самостоятельно иероглиф означает: «трава»@@@ «сено»@@@ «солома»@@@ «заросли диких трав»@@@ «захолустье» и т.д.
«Трава» - сильный ключевой знак.",
虎,тигр,とらがしら,,"Древняя пиктограмма@@@ изображавшая тигра@@@ послужила основой современному иероглифу «тигр».
В сочетаниях с другими иероглифами часто образует идиоматические выражения@@@ в которых «тигр» обозначает «опасность»@@@ «хищность».
«Тигр» в качестве ключевого знака употребляется до-вольно часто. Располагается в верхней части сложных иероглифов в виде 虍.",
虫,насекомое,むし,,"Древняя пиктограмма@@@ ставшая прообразом современного иероглифа@@@ изображала червячка.
В настоящее время иероглиф имеет значения «насекомое»@@@ «змея»@@@ «пресмыкающееся»@@@ а также общее название для представителей животного мира.
В составе сложных иероглифов@@@ как правило@@@ отражает отношение к насекомым.
Иероглиф «насекомое» - сильный ключевой знак.",
血,кровь,ち,,"Древний рисунок@@@ от которого произошел иероглиф «кровь»@@@ изображал сосуд с капающей в него кровью жертвенного животного.
В современном языке иероглиф употребляется в значениях: «кровь@@@ кровяной@@@ кровавый@@@ кровопролитный@@@ менструация@@@ кровная связь@@@ пыл@@@ энергия» и др.
В качестве ключевого знака иероглиф «кровь» мало-употребителен.",
行,идти,ぎょうがまえ,,"Древняя пиктограмма@@@ ставшая основой современному иероглифу «двигаться»@@@ изображала пересечение дорог.
Иероглиф употребляется также в значениях: «идти@@@ ходить@@@ путешествовать@@@ отлучаться»@@@ «проводить@@@ осуществлять@@@ исполнять@@@ совершать» и др.
Иероглиф «двигаться»
является сильным ключевым
знаком.",
衣,одежда,ころもへん,衤,"Пиктограмма «одежда» графически воспроизводит покрой распашного халата - основного предмета древнекитайского костюма@@@ всегда запахивавшегося направо. Современный иероглиф используется в значениях: «одежда@@@ платье@@@ куртка@@@ кофта»@@@ «внешний покров@@@ покрышка@@@ чехол»@@@ а также «надевать@@@ носить@@@ одеваться@@@ покрывать@@@ прикрывать» и др.
Иероглиф «одежда» является сильным ключевым знаком. Располагаясь в левой части сложных знаков@@@ может принимать форму 衤.",
西,запад,にし,襾@@@覀,"Единственный ключ@@@ имеющий 2 вида иероглифов 西 и 襾. \n 西 - Древняя идеограмма изображала птицу@@@ вернувшуюся в свое гнездо. Птицы возвращаются в гнезда на закате солнца@@@ а солнце садится на западе. Таким образом китайцы передали в иероглифе-идеограмме значение «Запад».
В современном языке иероглиф используется в значениях: «Запад@@@ Европа и Америка@@@ западная культура@@@ европейский@@@ иностранный». \n 襾 - Древняя идеограмма состояла из трех элементов@@@ из которых горизонтальная черта обозначала «небо». Черта U обозначала все под небом снизу вверх. Черта ∩ - сверху вниз. Значение идеограммы и@@@ впоследствии@@@ иероглифа - «покрывать@@@ накрывать».
В качестве ключевого знака малоупотребителен. В составе иероглифов записывается как 覀.",
見,видеть,みる,,"Древняя пиктограмма изображает глаз и человечка под ним. Получившаяся идеограмма означает «видеть@@@ смотреть».
В современном языке иероглиф используется в значениях: «видеть@@@ быть зрячим@@@ показываться@@@ появляться@@@ иметься в наличии@@@ быть на месте@@@ быть на виду» и др.
Иероглиф «видеть» - сильный ключевой знак.",
角,рог@@@ угол,つの,,"Древняя пиктограмма «рог» изображала толстые и массивные рога буйвола.
Современный иероглиф имеет значения: «рог»@@@ «острие»@@@ «мыс»@@@ «риф»@@@ «угол» и некоторые другие.
Иероглиф «рог» - сильный ключевой знак.",
言,говорить@@@ речь,げん,訁,"Древняя пиктограмма «речь» схожа с рисунком «язык»@@@ черточкой указывается на то@@@ что произносится.
Современный иероглиф используется во множестве значений@@@ связанных с речью: «речь@@@ язык@@@ слова@@@ иероглифы@@@ речение@@@ фраза@@@ договоренность@@@ условие@@@ уговор@@@ клятва@@@ дебаты@@@ выступление@@@ описание» и др.
Иероглиф «речь» - сильный ключевой знак.",
谷,долина,たに,,"Древняя пиктограмма@@@ от которой произошел современный иероглиф «долина»@@@ изображал источник или небольшой ключ@@@ из которого струилась вода или ручеек.
В современном языке иероглиф употребляется в значениях: «русло горного потока@@@ ущелье@@@ дефиле@@@ долина@@@ впадина@@@ лощина@@@ овраг»@@@ «обрыв@@@ пропасть@@@ тупик».
В качестве ключевого знака иероглиф «долина» малоупотребителен.",
豆,боб,まめ,,"Древняя пиктограмма@@@ от которой произошел иероглиф «бобы»@@@ изображала деревянную чашу с крышкой для приготовления пищи. Иероглиф употребляется также в значениях: «фасоль@@@ горох»@@@ «класть (раскладывать) по сосудам мясо».
В качестве ключевого знака иероглиф «бобы» употребляется сравнительно редко.",
豕,свинья,いのこ,,"Древний рисунок свиньи схож с изображением собаки@@@ только свинья - с коротким хвостом и отвислым брюхом.
Самостоятельно иероглиф употребляется в значениях:
«свинья»@@@ «свинина»@@@ «кабан»@@@ «вепрь».
В качестве ключевого знака малоупотребителен.",
豸,барсук,むじなへん,,"Древняя пиктограмма@@@ от которой произошел современный иероглиф «змея»@@@ изображала некое пресмыкающееся.
Кроме этого значения иероглиф может означать «безногое животное»@@@ «червяка» и «единорога» - сказочное мифическое животное@@@ карающее дурных людей@@@ - эпитет поборника правды и справедливости. Кроме этих значений: «приходить к концу»@@@ «разрешаться»@@@ «разрешение»@@@ «окончание».
В качестве ключевого знака иероглиф «змея» мало-употребителен.",
貝,морская раковина,かい,,"Древняя пиктограмма@@@ от которой произошел современный иероглиф «ракушка»@@@ изображала@@@ скорее всего@@@ раковину с моллюском внутри.
Современный иероглиф употребляется в значениях «раковина» и «моллюск».
«Ракушка» - сильный ключевой знак. Располагается в левой или нижней части сложных иероглифов.",
